name,channelHandle,tested,tesseractCode,googleCode,bingCode,deepLCode,defaultOutOfContextTranslator,defaultInContextTranslator
afrikaans,-,false,afr,af,af,-,google,bing
arabic,EasyArabicVideos,false,ara,ar,ar,-,google,bing
armenian,-,false,hye,hy,hy,-,google,bing
cantonese,-,false,chi_tra,zh-TW,yue,-,google,bing
catalan,EasyCatalan,false,cat,ca,ca,-,google,bing
croatian,-,false,hrv,hr,hr,-,google,bing
czech,EasyCzechVideos,false,ces,cs,cs,CS,google,deepL
danish,-,false,dan,da,da,DA,google,deepL
dutch,EasyDutch,false,nld,nl,nl,NL,google,deepL
esperanto,-,false,epo,eo,-,-,google,google
filipino,-,false,tgl,fil,fil,-,google,bing
french,EasyFrench,false,fra,fr,fr,FR,google,deepL
german,EasyGerman,false,deu,de,de,DE,google,deepL
greek,EasyGreekVideos,false,ell,el,el,EL,google,deepL
hebrew,-,false,heb,he,he,-,google,bing
hindi,-,false,hin,hi,hi,-,google,bing
hungarian,-,false,hun,hu,hu,HU,google,deepL
indonesian,-,false,ind,id,id,ID,google,deepL
italian,EasyItalian,false,ita,it,it,IT,google,deepL
japanese,-,false,jpn,ja,ja,JA,google,deepL
korean,-,false,kor,ko,ko,KO,google,deepL
kurdish,-,false,kmr,ku,ku,-,google,google
malay,-,false,msa,ms,ms,-,google,bing
mandarin,EasyMandarin,false,chi_tra,zh-TW,zh-Hant,ZH,google,deepL
miskito,-,-,-,-,-,-,-,-
mongolian,-,false,mon,mn,mn,-,google,bing
mooré,-,-,-,-,-,-,-,-
norwegian,-,false,nor,no,no,NB,google,deepL
oshiwambo,-,-,-,-,-,-,-,-
polish,EasyPolish,true,pol,pl,pl,PL,google,deepL
portuguese,EasyPortugueseVideos,false,por,pt,pt,PT,google,deepL
romanian,-,false,ron,ro,ro,RO,google,deepL
russian,EasyRussianVideos,false,rus,ru,ru,RU,google,deepL
serbian,-,false,srp,sr,sr-Cyrl,-,google,bing
spanish,EasySpanish,false,spa,es,es,ES,google,deepL
swahili,-,false,swa,sw,sw,-,google,bing
swedish,-,false,swe,sv,sv,SV,google,deepL
thai,-,false,tha,th,th,-,google,bing
turkish,EasyTurkish,false,tur,tr,tr,TR,google,deepL
ukranian,-,false,ukr,uk,uk,UK,google,deepL
vietnamese,-,false,vie,vi,vi,-,google,bing
welsh,-,false,cym,cy,cy,-,google,bing
